set,study,series,image,height,width
train,bd7354e80f27,dc2ca4c47b52,759b9866a2d8,2330,2846
train,85da175299c4,f06b91cbb64e,2b58c5262bf9,2484,2805
train,2d0150e971af,50a6ce5ab434,b2afb15942e3,2336,2836
train,39164e43c8bf,086353e85467,5e2596aa3080,3480,4248
train,948a3520b1f3,9b63c84f0966,e14b52100bea,3001,3001
train,8315467702a2,e0b0f4423cda,7fa8f43e5e81,2539,3050
train,a642231f2c63,f14c353e2ac1,700fab8a4486,1140,1387
train,7154fd5f147c,bdc8c3ea30cb,743bc62aeec7,2540,2880
train,fb5044f382e3,f049e2e9401a,a510b3efc3cc,3052,2996
train,53ab14d3aeff,2f32df1ce119,feb0c29bda19,2436,3032
train,cd3829a517ea,0ba5c257f131,f006f6d44a9c,2544,3056
train,b4319d15ad1c,6cb1565cb859,4d112d7b3535,3488,4256
train,b2e1d9261b55,0b6fba6ef5b3,f0abf0c5cbad,3000,3000
train,5351cb9cc20c,0dabe48f2af1,524911903bde,2520,3032
train,a0cb0b96fb3d,ccf363aa080f,ffdc682f7680,3488,4256
train,25e21353e24e,74797578a46f,0d97277582ab,2539,2719
train,2e52e7ea9fa1,80922b0a3f9d,9e560334750f,2320,2832
train,e51850dddb1d,edecc00b21ad,5c8147b9d1a4,3320,3408
train,6fa9fa493dd8,974e3eb4ea43,1d60112ec6bb,2336,2644
train,b1ca7dd14da1,fe49caf5274e,d234d34f4774,2336,2836
train,df89f8a12033,2d99927da6e7,6adce4fc71b0,2874,2840
train,982b445c0d1b,ca62685efd9c,9d6115245977,2416,2872
train,9027e97cec00,67a483c7016b,2b73d6e95825,3488,4256
train,8f1242af7d14,b765aa223444,04ee818a03d6,1140,1387
train,7f68921f1b58,24fca1fb4d52,e5423ff79c03,2492,2548
train,f2bf2f65fe68,e164d1b6fb9c,57c6e5cf617a,3488,4256
train,4d8280d84b26,ce2909180f32,909bac354969,2392,3079
train,bc2b65a2e0e0,3e04c37e6181,1a28634909f8,2560,3072
train,81f6b4b343f7,84c1e7460c8d,0102b5cac730,2544,3056
train,81f6b4b343f7,542be1be3c12,b43de320e7d9,2544,3056
train,81f6b4b343f7,e5a1046cf2e2,b3ffe59e37c7,2544,3056
train,dbf005c67f42,2b0fbca184c7,11ec6d0cef35,2964,3052
train,c2f15c46828d,8bbe6c4ebc00,de1a0182928b,2982,2987
train,d7f85b6dc2ea,dcea9ac440bc,674e9bd35d12,2416,2872
train,bf6f81be0705,e5ee301d13f1,d205dc170ccc,2336,2836
train,bf6f81be0705,f4cf4897840b,c9e358fea9ad,2208,2836
train,5400139d2bb4,8d30b109fc37,627bebe42356,2544,3056
train,dda7e9290f64,5d65762cea98,04bfc50a592b,2309,2926
train,0172a5607c9d,2da0e0864ce9,4b79ad26c2bd,3052,3052
train,8937a100c4b1,977ec35f6bbe,3473624859f0,3488,4256
train,5d7a01890cb6,529fca0a7090,b36981909f0f,2800,3408
train,4a6290010ad7,106516a956f6,2697632d70f7,4240,3480
train,675cd455cdb8,8698871772bc,1968bef09ad3,2320,2832
train,d0906bce2ac6,8896c9291fc9,364e2b97c131,2228,3000
train,061c46e4e75e,6b762f318de1,06a48d5926c9,2336,2836
train,fe3dec8d0403,cdf75c3f860b,507b3c3bac7c,2937,3006
train,5a642870b814,af6af34206e5,9507858e0d8e,2320,2832
train,d290c990efc9,36ea17040258,353ced4c326d,3052,3052
train,5e811e5fa7a8,bb19a98fe814,8f0ae2622c08,1760,2140
train,a606d1cb54cf,8065ef989faa,69c6eabf4e91,3480,4248
train,d07ea6d8fcd8,3ab59477520e,31d499dd751d,2996,2988
train,a6c79f136694,1d1d70d59c4b,2274c9443ffd,3052,2940
train,a2ea009b52fd,8b9b71d894b7,8ac094a0ec17,3480,4248
train,8b059659257d,fca8927d7ba7,4af7aa9e0686,2539,3050
train,1d28a8b7c0b1,5893b2c8dd25,9f34719296fa,3480,4240
train,f674b3cf60f7,c8ff4a4aca50,bab5ad2732f1,2416,2872
train,c3c51d97acf5,eac64ddb970f,c586f187e632,3480,4248
train,b394cd076dc9,f2fd576f8ae6,17eb45bb77f5,2711,3005
train,b0b4d4ae4e0a,d1eb244246cf,7f56ffb926a5,2336,2836
train,aa20aaac8504,d9701646386d,4818a62bb220,3488,4256
train,1179757bcf68,5891aa70dbe5,263447f14aaa,2544,3056
train,7fac35c9e1f4,83ca59b7b00a,8c313f2bf15f,2026,2677
train,f1063f4acf08,c7a8f5c4e5bf,12580967d3ec,2416,2872
train,202d3385a712,00920c1cd87c,ccccb7875b12,3480,4248
train,9a7558f7afc1,bba3e69b2ced,830cc183fb9a,3001,3001
train,c631e5f031a9,d5f43c97f5e9,f14c6029494a,2336,2836
train,c631e5f031a9,c482d24ddc45,e3f8e3a3baa3,2336,2836
train,f025d675b893,140f54905a9a,69aaaf77efdb,3480,4248
train,7adea6f20461,e0a9cb22a978,10b1352bfe36,3480,4240
train,20a86e21402f,637b252e991f,0811fe666ab0,2800,3408
train,511f9a60ee5b,afdd47c2f73a,d61bf240956c,2243,2580
train,a19382e3cce5,98d881889c25,e00951255b1d,3480,4240
train,d35441c203d8,eca631f0ff7e,5add73b3cf96,3032,3032
train,1baca8182bf8,d577f141c010,db2e41ee691c,2800,3408
train,76122cbd97f4,d8d9552be86b,bcb1d52e4eab,2800,3408
train,3829bdf59453,556c204bc2c7,01e4def48338,3480,4248
train,34e76fd17a93,1aefe9259bd7,306329dbbccc,3480,4240
train,8d6424e7fe13,48c273cb6e3d,d69d5e7600e2,2801,2802
train,f7ae051fa2f4,76c01e39609c,68ed8274ae7e,3480,4240
train,98a3f60e39a1,a8bb2d6bfc1a,3b61bb40b6e6,2874,2840
train,9376fced310c,a3e15f77b690,89a1a748ea89,2874,2840
train,7b86ae8017e5,470dbd08c264,3d6c5fa4b95e,2539,3050
train,109b53420475,5fb6e1526e47,061797f81be0,2800,3408
train,61f60b0f22a7,dbaf6636402d,36a6c5526fef,2585,2990
train,2460844b8bd7,870bd1baae04,2ce4a103d25d,2173,2494
train,51a10504052c,ee1767555c90,4d40e3259fb0,3480,4248
train,e10ad2e7182d,b7662751bb95,ef56cd9d3102,2544,3056
train,8ad88b978f87,abc801dd4ea9,5a3605f90540,3488,4256
train,1fab0b8dc055,65f807151673,76264298dfc8,2336,2604
train,9aa19b9ab337,1ff724c1c65c,ece4e66cb011,3488,4256
train,f4f08a1bbea9,dce78786effb,576bb6054ad3,2336,2836
train,8420a2430b65,691b6ff04ffd,d175da4e3357,2320,2832
train,4520d87fefbb,a4adb6e9b8d0,27f323d19997,2320,2832
train,37b284b23465,6a6692910e74,4b9cee7ecf44,3485,4020
train,860611cd1738,1395f405ceda,22bb49cfe204,2520,3032
train,8021320a355b,fc66fb5384fa,19dbffd9208e,2800,3408
train,18bcd9a1da10,972753eafd8c,c9705156f38c,3480,4240
train,b08f573ccdf4,8c69fd58f539,9f4e54eea5fe,1140,1387
train,edb5e43491c4,170fd32e8cdb,c86ec745fa23,3480,4248
train,a98a217fe57c,11dddb98520f,b8d7d61dba62,3052,3028
train,7e4e45a6428c,5c7f3536968e,d6fd4e6aa2fc,2336,2836
train,1ba5ddfad18d,4d19bf9cc027,f90e58ab1e45,3032,2520
train,4a759252b405,e538ba30e4f9,d66def7ad874,3052,3052
train,2c1e782a68d9,9b2e92e2f4f8,08d165dbcbde,2800,3408
train,fbf0289c2fde,7e13cdaae3f9,761288427a0d,2330,2846
train,467079e557f6,4cafe045e0f7,fac01332e5f1,3488,3488
train,9348d63bc024,03965697b351,725357f9fa54,2539,3050
train,a71df1f07bde,628a8b79899a,244776b92aaa,2520,2698
train,86aaf2215fd4,5ecebb39b2e5,a373b3a084ea,3488,4256
train,f9883095da5d,3df3b588b862,8cf4d311fd34,2180,2660
train,ad057569e00c,82be0d8d49d8,20afe4c0669f,3052,3004
train,966b3f33b181,0bc6c4410ffc,327996961b8d,2336,2836
train,8c1c165022b6,3e8e8ebd0a0e,a5b2a480b6e8,2336,2836
train,dbfb54d68d5c,27b1bcfc330b,dc3922f524a8,2982,2990
train,fe0a3b895abf,1b1dc805840b,8e45c71fa47d,2874,2808
train,d261ac4d6627,4488c96b093c,d653aa376299,3052,3020
train,57776e62829f,a7954dc8c1df,967e6bc69610,3032,3032
train,20f85a875621,77752c8ceb7c,d13f2f20a973,3488,4256
train,057c02a959f1,6de2191aa170,ba463980acdb,2540,2880
train,e416f944cb42,9e42a29a3460,42a27e1fa3fa,2320,2832
train,7c4e845285e8,c243f0a07dd7,52c97017741a,2143,2836
train,e43c10ce7933,c44881fc4987,3566e20a178e,1760,2140
train,e43c10ce7933,11827c82f4b8,3577ee4f26c4,1760,2140
train,c70369caef91,cf612c78182d,1e82f179e878,3488,4256
train,ee22d804e868,57f7e47bb6a0,7064823e0cf2,2336,2836
train,1fcc3fac4784,aa8d2550cde5,7253921f7599,2800,3408
train,8fa4e73b7253,0c2c11910f75,bead79d99849,2320,2832
train,f4b2c6d0edca,5cb774afb684,1c566290d70c,2544,3056
train,8452bd412bba,cb6de72b266f,9db84e6ab801,2416,2872
train,24c727c4d278,15e6370fe355,fc540611c9d1,2040,2118
train,5b4320cfadc4,b5fced301c69,4e0367ed8dd0,2320,2832
train,d8a361473402,859542f0ac5a,c9f8fff624b9,2400,2880
train,a292b1d0cce3,fd3e92a7d01b,19f96cb8225e,3480,4240
train,3d2d006e9cc7,e15409e6ae9b,56eabfb7f38d,3488,4256
train,c9e4975d5ae8,ab731dda518b,f239ff9ef0da,3408,3320
train,a76a593c467d,162f45c2da91,02a1efc9a703,2436,3032
train,d8f567817b2d,db12a3413db1,60fecf059f05,2539,3050
train,d8f567817b2d,f5f6ef56c232,b0866caa201a,2539,3050
train,c732dd163d0d,d7128cc05f61,ce2c42b51f24,2539,3050
train,d9539ac29614,a72c7c6e2d1f,880c10b2c075,2805,2992
train,a2503ebcfbd6,f554dcdf3906,82bbfbe2fc2f,3480,4248
train,19a69f8ae995,66f4e84ddbce,73cc6794cbb8,2828,2320
train,ed855d09ffd4,188a3f3f7d15,20466076f5e1,2436,3032
train,515eebd02d8e,85a813435beb,f06c2c3cbb65,2400,2880
train,17bb0bdd2f7b,1acf705cbf28,c25fdb0d8cc8,3480,4240
train,633ad3666fe2,99ec81a6669f,8d003476a0b9,2336,2836
train,b64ca770e9de,2f91dba36b67,0439b8a687cc,3480,4248
train,525baed75bc5,f6caf80ef3c1,fd5846e6740d,2539,3050
train,40ab9be365a1,4317550369e3,5ab1ec037d9b,2330,2846
train,6de88cb78697,082fdb8a6318,e545e07a7a06,3480,4248
train,9e49c8e24623,0a361099e080,789a6ee00858,3056,2544
train,ee783fcfed40,60534d12be40,c43b8aa6f1c3,2544,3056
train,ceb622d6d291,418ab39953a6,4c45ed919f45,2336,2836
train,34483c9319e9,55d38c6e2cde,b1cd27e802aa,2336,2836
train,4a6c95b0cc17,d6fb7024c45d,e441b1fb74ee,2874,2832
train,4a6c95b0cc17,dc10a30ff9d1,6fadc9266adb,2874,2808
train,9e5cdeb53c06,cf7de3815e35,e7a6b0ff3082,2991,2992
train,8e844d4f4027,25be9f855792,3bb9d1009a11,3488,4256
train,13e21ab810f1,a441adfc71e4,2d608b540059,2539,3050
train,5618efab082e,72b04f12e6d1,2d50da581cb3,3480,4248
train,db406f865d2c,a41283f5d3d7,9cf785a113a5,2694,2760
train,bf718904b796,17efe6e8b7c4,92d27a1b8959,3488,4256
train,23423a5342ea,56162e75a6a4,47bdddec0c86,2539,3050
train,d0bdcd1a721d,0f40c5df8e95,f7a5935dee5c,2539,3050
train,09eff3975c81,828fbd5db21a,1fffaf06c050,2320,2832
train,4d468b5b8cec,a2172435dcfa,137ebbb39847,1760,2140
train,6acbdc6c8bf2,68114e818554,7f9ebbdae8b4,2539,3050
train,36b720acfc13,0a1336ba1079,9fc671f79108,2336,2836
train,25ce40175fd5,3eca6e37481c,c911acd72665,2436,3032
train,25ce40175fd5,526c1de877d9,f7f759f7a4f1,2436,3032
train,ba72d9d6b562,52fc5d730a77,7ad1c416e505,1838,1972
train,6d172472504c,f64622cc4f22,cb6f637caa31,3488,3488
train,325163dca428,c83617967427,0ea0c8f31614,1140,1387
train,3b205aad9af7,bd12c4aa9bba,8ad69c4e9471,2320,2832
train,7610dab485fc,2c6ac33dc1ff,56d2c0ca14f8,2436,3032
train,4944adbe3aec,8c57032abb30,ab0959949c38,2825,2874
train,d6a591a5b3fc,de6fe73c6075,f82f99deaae2,4020,4891
train,614be300927d,1b5cde11b7cf,682dc5e0de25,2536,3048
train,496c2ad36568,68e65c9e871a,eef3a0e47dc9,2801,2802
train,5aab89012cc2,09ce51042d7c,7a7a343ae1c1,2416,2872
train,d74b6ea0d497,32df8abfecae,940996303881,2336,2836
train,f556a329c873,c3ce11c94966,55eac3fc31fd,2520,3032
train,c158be090c57,040513f7e39a,64c89057799e,3488,4256
train,3deec0a549d3,7015afc9ed7b,a09c6b006ed5,3488,4256
train,570e81ad62f3,4676e96ae640,ca6a63a554c7,3488,4256
train,a34bfa3e0298,25b3cb7f47a2,f5428f049a02,2266,2918
train,93882c2250e5,81178f0352e7,81b8374e4e1c,3052,3052
train,ea2d09b4a59f,4afe11b29b28,a5d628756358,2551,3029
train,3b880c44cef6,07d06caf4297,b09a2d5cdd2a,2958,2981
train,2863afd4cd1e,234d24f84edb,c433f2351dd6,2746,2806
train,52dc05bd4381,e949c798ecd1,fdb87f885d0e,3488,4256
train,1f64a498ff9e,32916cd1eca6,510b6d43d8e7,2569,2974
train,0a29d44f380b,22d381f8ae8c,eb61e3bdb2a5,2336,2836
train,72044bb44d41,c39be19d56ba,7452ddd5b44b,3488,4256
train,6e2036e14c7f,ed3f3f72b1a5,92b8c6bdda37,1140,1387
train,735523d1689e,1f3db635cd5a,d1e20151c1ca,2746,2558
train,a45fbd22e4b2,ec843cb946d8,836e7540cea4,2991,2992
train,2072fcb4eea6,d10b8ef342ef,4b17794e0851,2874,2840
train,bf443fd8264c,3f6d031a7b61,ae7cb785f354,4020,4891
train,9a0b8204400b,7380fc5d5ac8,b8b0eda83a15,2336,2836
train,31585f62e64b,084e5c075d9c,50d404627d73,3052,3052
train,338502a91c52,5bc1661da5d3,83617955c933,2336,2836
train,0b6a57fb8aaa,5b8f634b3699,8651eba3cad5,2520,3032
train,5f214fc89978,9428b6e3f70a,f658eafd6b22,2022,2149
train,85e721c2c2f7,31f866dffdde,2f5e2a2e2888,2438,2719
train,9d17eb56c1ab,b7aca300593e,e46f7573012c,3488,4256
train,b81cbac55d0d,2c7e22a99991,94821c5f57df,2294,2836
train,fcb2e43ec0fb,473fe7851a2f,b8f98967f667,2244,3050
train,944341248373,7c217311846b,44d5c5edbfc8,2320,2832
train,24aa73a20789,8606cdd8003b,5276667c0574,3480,4248
train,e13e117a8d82,4e38bdf22c3e,1e59a284b96b,3480,4240
train,b6b4bdf92b3f,efe1d759628e,e830ffb5a568,2330,2846
train,cd31be2c08a8,15677c8b64c3,a4cfd67447fb,2336,2836
train,84a72fcf010a,5a7f6c6fd733,b0996697b312,2330,2846
train,5170993e49dd,5427edf9fc80,3a43c1fbaec7,3480,4240
train,c87fc2d62863,a6172c5fc86a,035e8786afef,2336,2836
train,3340562b3fce,f727f4efd6c1,ae208be9862d,2012,2012
train,22555df670d7,3a93b0b9d49f,8593f5f96ea7,2330,2846
train,da418ab5c65a,8bcd09cff6e2,dad11df05809,2312,3010
train,4624eb6a47d9,b92d73642ad9,b70046fd4564,2330,2846
train,00c83e33588f,2892280fbaaf,7e7d3afebf5d,1486,1356
train,df924511c439,d660a43d2dc2,ba994c64f085,2801,2992
train,4ac2b8f0d043,d817068ab1c3,9c21b784e2d7,2572,3052
train,484e59c2708d,fefcd31aaeca,a6fae815f05c,3032,3032
train,beb39eada193,2f180c9963bb,bdf127e8c7ed,2539,3050
train,f5a76ea09507,6bda929c057a,07ce8310154d,3480,4248
train,f04ff90a3dd9,1d58ffeff4c4,e9c200e6ae54,3000,3000
train,b23a892a29d8,fed1212142c9,5f7a874fa09a,3000,2673
train,3218844882c3,6c4e89bf35dc,c8f42ce79d67,2320,2828
train,9cceed954b94,2825ba099a22,68ca41778c30,2536,3048
train,ea77b94ea210,a94a9bbd02ac,536be3676c85,2366,2755
train,49374ea79cdd,5fc4fbdcff53,b5a415f70aa9,2544,3056
train,49374ea79cdd,ad7989154d2a,1a0a148c030f,2544,3056
train,22adb7da3c70,22f2fce63102,03fd83fc90d9,3032,3032
train,79b0461d245a,a0e11d9d36e4,991e467c5927,2991,2992
train,01ed923839d7,d23a4ac4033c,a82f4bf3f6be,2707,2908
train,dc0fed8c8737,1ab5c6dff81a,7b5b5f6bcda4,3480,4240
train,048616ba3fe3,79edad1404cc,049e68c02a31,2336,2836
train,5024b6620c03,14f6f307105d,d0c92c3d9446,2539,3050
train,cfccf6cf66a1,7528635d89d2,250e141ba53a,3480,4240
train,06dc92c4302a,e1c13867cbd9,dd24bff49c63,3480,4248
train,f9d95dc20962,d3dfdeb15e0d,8e486df25480,1760,2140
train,956d5ff78f91,04ee8c209bde,02e0b0db9231,2330,2846
train,ee5ea1ff9f13,3e6d18849c60,8675bb424507,2336,2836
train,50b1bb4e5be3,8d50d37608bd,a6a58e69de4d,2801,2802
train,8861d23685ef,8e087e1b8f2d,c6c12ad89dec,3052,3052
train,94708a574bf1,d15fa28c016e,60bcbaadd32e,3480,4248
train,25a1c199f819,820f2528e427,f6b904159835,2336,2836
train,2a34f33583d3,fa952434d079,3bd8bd96937e,2801,2802
train,6cef85af3be3,724a1d39e21e,77be80db6930,3488,4256
train,5d69d8191cf3,144bd2a87af6,21a276623bae,2539,3050
train,e93b8361bfd0,4d6258c04958,f57dc3a872eb,2330,2846
train,88de39a40a62,744df4c6edc5,78f5d0c4f4d6,2800,3408
train,4f87a1a47342,afc338696fc2,fc9d227a2b94,2423,2948
train,720fb67abb1e,011b846943fe,8847e934d44f,2436,3032
train,b840c460b426,b71dc0a4f22c,e1c597bee679,2801,2798
train,ceab7a50d7fa,6ae14bc70c83,3d21f78391c8,3052,3052
train,5249dd72e890,1db3fb6f1d21,3dca73493c38,3480,4248
train,ae9ecf9bbc72,c783cd6e9c4d,09c909226d35,4020,4891
train,75bb6e197bbb,7fd6e64beeea,f087281fee55,3488,4256
train,c5bed0d55643,683af8e85f34,0fee4da39e93,2330,2501
train,a53784deddfe,b032e2f85f62,fb5d173c4c47,2536,3048
train,6e3e83089363,85f79b3aa8fa,5cd1b4c1bc31,3050,2539
train,97d942de179b,bcb0e30c2b00,ce245a692db8,2336,2836
train,27153365136b,bf0b046792b6,91f8706309e6,2520,3032
train,d61e065cdab0,7efb95ae4278,3b96ea6dbed2,3052,3004
train,39b9303331d6,45a9ce2631dd,9df91d428770,2436,3032
train,dd7ae61dc7e5,1f984cd17389,76441f9357f5,2536,3048
train,b59f90739827,558165385027,e03891e12881,3480,4248
train,8d05f7a01571,d831a4d5b6a4,13b6d8ab6647,3480,4248
train,b9c1352710b4,20a8cca6c1f8,54c0d8670c28,2320,2832
train,77b4e0d0a49d,9bb600b7a0d6,4e3cc33ab9c3,1140,1387
train,508614a9c9ff,6027e0f05f0a,0b55cd36e5cc,3489,3755
train,4ba755b48a9c,adafcd3e1192,cdb14d392b0b,2833,2876
train,bb64d0bf6912,5de58ac56418,1e1a624d65a6,3000,2905
train,48889844ef56,8d38660384b3,620c0f590fa6,3480,4248
train,c1e64803761d,2b43a81a0688,8ded0693be5e,3480,4240
train,7d4971c1d0ca,7fd50fc5af2f,ea0fe8beeff4,3028,3052
train,99cb21faf18a,31e380e1ee84,11f9821dba42,3488,4256
train,dd50b4d48244,f68ef2483151,3bce64c0c959,3488,4256
train,c08deac36ae6,db245dad173a,c379411716f4,2330,2846
train,66028624dad2,0085e0fbe55b,8e9633a5f516,4020,4891
train,40689b3c62c2,596d5b4cb12e,eb32f1993410,1833,1711
train,08b3ed9bd8ff,2dc9732337a0,042e8fe12700,1140,1387
train,7d9f72046513,0cbfd583214f,44325f6654eb,1760,2140
train,360c787839e7,f83def308d6f,c7f969e8c0b4,3066,3120
train,6133f90e9453,dabf16d533e2,a9b110fcfef1,2336,2836
train,4b7578c84ffe,dfeb534a32a9,de2b4341f585,2320,2836
train,2d1ad7900507,459968201458,2dd56460ae48,3032,3032
train,7e5785e7fda6,41b71eac285d,15f29140a676,3480,4240
train,6863735553dd,5f73da866c70,fbd384384f57,2950,2656
train,9e70afac2591,e49569c70174,0ab867e40c94,2989,2992
train,ffebf1ef4a9c,e11401cd12d0,52478e480a15,2330,2846
train,79d205d0e7ae,3e71d8d6dd9e,3208e2754431,3052,3052
train,afc40988867b,afec414bda7a,bc05eeaa66da,2320,2832
train,03c62bc287b6,a12b7d1aed36,36815bf5f063,2956,2989
train,1687babbc896,2843ef34d59c,bd7ffeb9da89,2320,2828
train,c85b74b2f14d,c5523075c1bc,73df6b5190c2,2801,2990
train,4926a4aa705d,3d6e1ac71b1b,0c39bc33ac7a,2336,2836
train,583b8489646f,18ab75d49328,043d37504ca8,2593,2992
train,022f9b3cfd91,3a6f018960d6,5af8dfe95d88,3480,4248
train,0d1626be72d5,df59a6631382,ed8e9c18f3aa,2320,2832
train,20eb74deaf29,4134e2ae012e,012f57190f1d,2428,2428
train,ed5d94f5100d,fb71ba5d139d,ba90b53ea840,3480,4248
train,2e6176e3daea,298f4f5f5897,a6f610cc46fb,1140,1387
train,23dd60be5ed2,fc53560e9882,a49539a0ea2d,3480,4248
train,3b4ee5bd11b3,d413d84980d7,166921f01e2f,2416,2872
train,c640c29623c8,d503a8097d3c,f99fd61d4072,3480,4240
train,0f61a1f7ed0a,9e39c0370499,d19950710463,2320,2832
train,df68e31da347,0c8c6067b2b7,952d4a77beda,3117,3408
train,f8c0c6d203ad,8c4cf6c9b751,24bf48338950,2336,2836
train,403035b9487c,62164930c43a,538916a496c4,2801,2802
train,8fece7358b68,939b1d43cce1,48d61d4bd869,3480,4248
train,7fba08f9ba1e,ee58d8996c64,367cc5278161,2544,3056
train,00792b5c8852,1f52bcb3143e,3fadf4b48db3,3052,3052
train,bf3653da2444,ca9faa7d176d,3de0f18b4539,2428,2428
train,5f159e65db5b,a070d9bbbf9d,8a108ed6eb35,3114,3656
train,a4afefa6dc77,32c655907dc1,bb1104267164,3480,4248
train,4b4fa74957a1,f378a9bd22f9,d06c3eaa68a8,2991,2992
train,55bdad0b3d6a,23c933ca7c2e,0896ca4f76f3,2625,2934
train,d41577cf0009,ed399c9040b9,ae6dd6c230e6,2801,2802
train,2838d8cb10ba,e38064bf27f1,6b11814630ef,3480,4248
train,c1da0e5b5e7f,5480331e1cc3,3f4bf5c485de,3488,4256
train,74a340df754f,520056468f29,213254f5b712,2801,2802
train,86d7ce86d31c,1b629320819e,7dc87c9920b0,3488,4256
train,075ca6e0fdca,df1fb34431ad,8e34d5a81ed5,3480,4248
train,78509f1ae31c,a23d69e685e3,d5b218e08e3f,3480,4240
train,d8699872c8bf,9db8f343e0e1,479df4fbe9b3,3488,4256
train,bc3e009078ca,6fcf6a95c1f6,d93b8a8335cf,2336,2836
train,016c1781fbb2,8d5a55f0a54e,f87b978285e8,2539,3050
train,6fbf52de1577,dc82a471fedf,87c718d12689,3480,4248
train,ea1bf78bc0ee,77a631812e0c,7a733f167e29,2115,2906
train,6ebc9d6383f7,3cedbc3e563f,3aad9cfe4cb1,1760,2140
train,7afa1e20a54e,733e0fd1a7b5,7194fb62b105,2320,2832
train,2e2d6ef7ecbd,bb8f5fdbc02d,63bcb93c9d31,2336,2836
train,5846e5cc51a2,12e141bff843,6d47700cf105,2251,2586
train,e50d56f75dc9,b6bfa3e9b4b3,3ed100de7738,2436,3032
train,4f8d4904d509,030cfe13cd41,6b6b72356cc9,2436,3032
train,72514d63484f,61753f4722e4,48bb84b1b95d,2975,3408
train,46b59bea8e92,706aec40b7df,1ee8f6cbb6e2,3052,3028
train,ef303ca23c79,4342deaef34c,267b2a56edec,2336,2836
train,0490565dc4c0,7f7744c657df,345ff154ba07,3488,4256
train,4c96f8a99305,102dd75892a3,22abca0b916c,2156,3013
train,0be731313053,45aef9b75132,c6f65ce3990c,3050,2539
